snapshot_time: 979.6092565 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
3, 4.33474424e-05, -6.864565535e+11, 2.135338676e+12, 0, -7327.700903, -2393.254071, 0
4, 5.113210577e-05, -3.390518441e+12, -2.381181423e+12, 0, 3258.158277, -4673.75803, 0
snapshot_time: 39184.37026 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, 461991848.2, -134274022.7, 0, -4.663366158, 8.07508153, 0
1, 0.0009478064836, -6.363148416e+11, -4.960177422e+11, 0, 8051.928873, -10039.35203, 0
2, 0.0002837732003, 7.425061416e+11, 1.067816618e+12, 0, -8375.939543, 5706.3486, 0
3, 4.33474424e-05, -7.909175341e+11, 2.09881692e+12, 0, -7201.983071, -2748.174256, 0
4, 5.113210577e-05, -6.785360888e+11, 4.11148167e+12, 0, -5582.273863, -962.0771429, 0
snapshot_time: 40163.97951 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -120503524.7, 587063381.7, 0, -10.24750346, -2.402336106, 0
1, 0.0009478064836, 3.251618991e+11, -7.395740975e+11, 0, 11663.65835, 5379.170658, 0
2, 0.0002837732003, -1.260073012e+12, 2.728488846e+11, 0, -2062.087804, -10022.93157, 0
3, 4.33474424e-05, -8.874284307e+11, 2.059779095e+12, 0, -7064.182844, -3087.881072, 0
4, 5.113210577e-05, 4.071725084e+12, -1.017465086e+12, 0, 1376.887842, 5453.105219, 0
snapshot_time: 41143.58877 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
0, 0.9986739408, -634900587.7, 278758097.3, 0, -0.1579145658, -12.01868436, 0
1, 0.0009478064836, 7.909252645e+11, 1.704172048e+11, 0, -2784.640843, 12519.67705, 0
2, 0.0002837732003, 2.05930164e+11, -1.270521593e+12, 0, 10109.40503, 1643.316396, 0
3, 4.33474424e-05, -9.871420374e+11, 2.013062958e+12, 0, -6907.954222, -3428.867506, 0
4, 5.113210577e-05, -2.566544033e+12, -3.258855235e+12, 0, 4452.578901, -3543.384566, 0
snapshot_time: 42123.19803 yr
particle_id, particle_mass, particle_pos_x, particle_pos_y, particle_pos_z, particle_vel_x, particle_vel_y, particle_vel_z
